
cls,count
http://dbpedia.org/class/yago/AcademicsOfAT&TLabs,1
http://dbpedia.org/class/yago/AcademicsOfTheLondonBusinessSchool,46
http://dbpedia.org/class/yago/AcademicsOfCharlesUniversityInPrague,120
http://dbpedia.org/class/yago/AbbotsOfJarrow,2
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfTurku,1
http://dbpedia.org/class/yago/AbbotsOfDownside,3
http://dbpedia.org/class/yago/AbbessesOfThorn,2
http://dbpedia.org/class/yago/AcademicsOfHeriot-WattUniversity,22
http://dbpedia.org/class/yago/AcademicsOfLoughboroughUniversity,30
http://dbpedia.org/class/yago/AcademicsOfTheHochschuleF%C3%BCrMusikUndTheaterM%C3%BCnchen,26
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfGlasgow,194
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfTheWestOfScotland,3
http://dbpedia.org/class/yago/AbbotsOfChertsey,2
http://dbpedia.org/class/yago/AcademicsOfVietnameseDescent,20
http://dbpedia.org/class/yago/AcademicsFromNorthernIreland,7
http://dbpedia.org/class/yago/AcademicsOfTheInstituteOfEducation,19
"http://dbpedia.org/class/yago/AcademicsOfGoldsmiths,UniversityOfLondon",45
http://dbpedia.org/class/yago/AcademiesInCamden,2
http://dbpedia.org/class/yago/AcademicsOfOxfordBrookesUniversity,23
http://dbpedia.org/class/yago/AcademicsOfTheRoyalWelshCollegeOfMusic&Drama,3
http://dbpedia.org/class/yago/AcademicsOfBrunelUniversity,30
http://dbpedia.org/class/yago/AbbotsOfWinchester,2
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfUlster,24
http://dbpedia.org/class/yago/AcademicsOfMiddlesexUniversity,34
http://dbpedia.org/class/yago/AbbotsOfCrowland,4
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfStrathclyde,40
http://dbpedia.org/class/yago/AcademicsOfSouthamptonSolentUniversity,4
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfCapeCoast,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfNottingham,115
http://dbpedia.org/class/yago/AcademicsOfBournemouthUniversity,6
http://dbpedia.org/class/yago/AbbotsOfReading,3
http://dbpedia.org/class/yago/AcademicsOfDePaulUniversity,2
http://dbpedia.org/class/yago/AcademiesInBrent,4
http://dbpedia.org/class/yago/AcademicsOfTheComplutenseUniversityOfMadrid,23
"http://dbpedia.org/class/yago/AcademicsOfTheRoyalNavalCollege,Greenwich",9
http://dbpedia.org/class/yago/AcademicsOfTheTohoGakuenSchoolOfMusic,6
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfWinchester,6
http://dbpedia.org/class/yago/AcademicsOfTheOpenUniversity,96
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfManchester,185
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfTheArtsLondon,10
"http://dbpedia.org/class/yago/AcademicsOfTheInstituteOfCommonwealthStudies,London",2
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfOxford,195
http://dbpedia.org/class/yago/AcademicsOfCoventryUniversity,10
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfPortsmouth,15
http://dbpedia.org/class/yago/AbstractArtists,54
http://dbpedia.org/class/yago/AcademicsOfSheffieldHallamUniversity,12
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfDeusto,5
http://dbpedia.org/class/yago/AcademiesInBexley,8
http://dbpedia.org/class/yago/AcademicsByNationality,13
http://dbpedia.org/class/yago/AbbeysInHampshire,9
http://dbpedia.org/class/yago/AcademicsOfCityUniversityLondon,32
http://dbpedia.org/class/yago/AcademicsOfEdinburghNapierUniversity,8
http://dbpedia.org/class/yago/AcademicsOfDurhamUniversity,158
http://dbpedia.org/class/yago/AcademicsOfTheCentralSchoolOfSpeechAndDrama,6
http://dbpedia.org/class/yago/AbbotsOfEvesham,8
http://dbpedia.org/class/yago/AcademicsOfAstonUniversity,10
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfBedfordshire,3
http://dbpedia.org/class/yago/AcademicsOfTheConservatoriumVanAmsterdam,25
http://dbpedia.org/class/yago/AcademicsOfTeessideUniversity,5
http://dbpedia.org/class/yago/AcademicsOfTheRoyalAcademyOfMusic,193
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfHelsinki,81
http://dbpedia.org/class/yago/Abbots,38
http://dbpedia.org/class/yago/AcademicsOfWestfieldCollege,7
http://dbpedia.org/class/yago/AcademicsOfLiverpoolJohnMooresUniversity,14
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfWolverhampton,17
http://dbpedia.org/class/yago/AcademicsOfLiverpoolHopeUniversity,9
http://dbpedia.org/class/yago/AcademicsOfTheRoyalNorthernCollegeOfMusic,1
http://dbpedia.org/class/yago/AcademicsOfNewcastleUniversity,74
http://dbpedia.org/class/yago/AbbotsOfOliwa,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfBrighton,16
http://dbpedia.org/class/yago/AcademicDegreesOfTheUnitedStates,1
