
pCls,count
http://dbpedia.org/class/yago/Abortifacient102667906,11
http://dbpedia.org/class/yago/AcademicAdministrator109758885,80
http://dbpedia.org/class/yago/Academy108279298,136
http://dbpedia.org/class/yago/Academician109759069,8627
http://dbpedia.org/class/yago/Academician109759501,53
http://dbpedia.org/class/yago/Abbot109754404,240
http://dbpedia.org/class/yago/Abstractionist109758424,54
http://dbpedia.org/class/yago/AcademicDegree106697331,87
http://dbpedia.org/class/yago/Abbess109754217,56
http://dbpedia.org/class/yago/Abbreviation107091587,171
http://dbpedia.org/class/yago/Abnormality114501726,105
http://dbpedia.org/class/yago/Abrasive114799244,9
http://dbpedia.org/class/yago/Abattoir102666943,2
http://dbpedia.org/class/yago/Abbey102667576,19
http://dbpedia.org/class/yago/Abolitionist109756637,34
