"p1"	"p2"	"p3"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2000/01/rdf-schema#subClassOf"	"http://www.w3.org/2002/07/owl#equivalentClass"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2000/01/rdf-schema#subClassOf"	"http://www.w3.org/2000/01/rdf-schema#subClassOf"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2000/01/rdf-schema#subClassOf"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2000/01/rdf-schema#subClassOf"	"http://www.w3.org/2000/01/rdf-schema#label"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2000/01/rdf-schema#subClassOf"	"http://www.w3.org/2002/07/owl#disjointWith"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2000/01/rdf-schema#subClassOf"	"http://www.w3.org/ns/prov#wasDerivedFrom"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#disjointWith"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#disjointWith"	"http://www.w3.org/2002/07/owl#equivalentClass"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#disjointWith"	"http://www.w3.org/2000/01/rdf-schema#subClassOf"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#disjointWith"	"http://www.w3.org/2000/01/rdf-schema#label"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#disjointWith"	"http://www.w3.org/ns/prov#wasDerivedFrom"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2000/01/rdf-schema#subClassOf"	"http://www.w3.org/2000/01/rdf-schema#comment"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#disjointWith"	"http://www.w3.org/2000/01/rdf-schema#comment"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.w3.org/2000/01/rdf-schema#seeAlso"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.wikidata.org/entity/P18c"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.wikidata.org/entity/P227c"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.wikidata.org/entity/P2521c"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.wikidata.org/entity/P279c"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.wikidata.org/entity/P31c"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.wikidata.org/entity/P425c"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.wikidata.org/entity/P452c"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"	"http://www.w3.org/2002/07/owl#equivalentClass"	"http://www.wikidata.org/entity/P910c"
