p,s_count,o_count,t,card,inverseCard
http://purl.uniprot.org/core/alternativeName,"3663788","95577","5806329","1.5847884","60.750275"
http://purl.uniprot.org/core/basedOn,"39365","21598","39365","1.0","1.8226224"
http://purl.uniprot.org/core/category,"1343","28","1343","1.0","47.964287"
http://purl.uniprot.org/core/cellularComponent,"151260","391","151260","1.0","386.85422"
http://purl.uniprot.org/core/citation,"73679165","687248","89207412","1.2107549","129.8038"
http://purl.uniprot.org/core/classifiedWith,"66415550","28408","275196686","4.1435575","9687.295"
http://purl.uniprot.org/core/cofactor,"3306529","114","3602168","1.0894107","31597.965"
http://purl.uniprot.org/core/commonName,"39640","35629","39640","1.0","1.1125768"
http://purl.uniprot.org/core/commonTaxon,"146381013","458089","146381013","1.0","319.5471"
http://purl.uniprot.org/core/component,"51025","5207","111980","2.1946106","21.505665"
http://purl.uniprot.org/core/conflictingSequence,"289206","123617","337148","1.1657711","2.7273595"
http://purl.uniprot.org/core/context,"71507758","77039636","77342304","1.0815932","1.0039288"
http://purl.uniprot.org/core/database,"214902515","142","214902602","1.0000005","1513398.6"
http://purl.uniprot.org/core/disease,"5086","4541","5086","1.0","1.1200176"
http://purl.uniprot.org/core/domain,"6484","973","14396","2.2202344","14.795478"
http://purl.uniprot.org/core/encodedIn,"2466211","17840","2522403","1.0227847","141.3903"
http://purl.uniprot.org/core/enzyme,"9172348","5323","9346743","1.0190132","1755.9164"
http://purl.uniprot.org/core/erratum,"990","996","996","1.0060606","1.0"
http://purl.uniprot.org/core/existence,"71209040","5","71209040","1.0","1.4241808E7"
http://purl.uniprot.org/core/host,"2893","965","6332","2.1887314","6.561658"
http://purl.uniprot.org/core/interaction,"15305","59739","59739","3.9032342","1.0"
http://purl.uniprot.org/core/isolatedFrom,"2140775","1049379","2337643","1.0919611","2.2276442"
http://purl.uniprot.org/core/locatedIn,"8923358","151260","9463968","1.0605837","62.56755"
http://purl.uniprot.org/core/locatedOn,"79486970","16764065","79527270","1.000507","4.743913"
http://purl.uniprot.org/core/locusName,"5287978","5347928","5379115","1.0172348","1.0058316"
http://purl.uniprot.org/core/mappedAnnotation,"16104529","16165817","32331634","2.0076113","2.0"
http://purl.uniprot.org/core/mappedCitation,"352415","804653","32510130","92.249565","40.40267"
http://purl.uniprot.org/core/method,"123079","14","123081","1.0000162","8791.5"
http://purl.uniprot.org/core/mnemonic,"138046884","138038935","138046884","1.0","1.0000576"
http://purl.uniprot.org/core/modification,"39365","51250","59798","1.5190651","1.1667902"
http://purl.uniprot.org/core/name,"1211854","84917","1244074","1.0265874","14.650471"
http://purl.uniprot.org/core/oldMnemonic,"174254","162073","218130","1.2517934","1.345875"
http://purl.uniprot.org/core/orfName,"53728973","56986756","57710187","1.0740981","1.0126947"
http://purl.uniprot.org/core/orientation,"4886","8","4886","1.0","610.75"
http://purl.uniprot.org/core/otherName,"407684","706400","707437","1.7352582","1.0014681"
http://purl.uniprot.org/core/panproteome,"8833","1511","8833","1.0","5.8457975"
http://purl.uniprot.org/core/partOf,"313","140","366","1.169329","2.6142857"
http://purl.uniprot.org/core/participant,"59739","17251","118456","1.9828923","6.8666162"
http://purl.uniprot.org/core/rank,"1318238","28","1318238","1.0","47079.93"
http://purl.uniprot.org/core/recommendedName,"11862225","343926","11862225","1.0","34.49063"
http://purl.uniprot.org/core/redundantTo,"42306","2602","42306","1.0","16.259031"
http://purl.uniprot.org/core/relatedLocation,"238","46","316","1.3277311","6.869565"
http://purl.uniprot.org/core/replacedBy,"478701","311841","503539","1.0518862","1.61473"
http://purl.uniprot.org/core/replaces,"311929","478675","503569","1.6143706","1.052006"
http://purl.uniprot.org/core/scientificName,"1519851","1514445","1519851","1.0","1.0035696"
http://purl.uniprot.org/core/sequence,"71266716","71255385","71350438","1.0011747","1.0013341"
http://purl.uniprot.org/core/sequenceDiscrepancy,"59190","59708","59708","1.0087515","1.0"
http://purl.uniprot.org/core/status,"37","2","37","1.0","18.5"
http://purl.uniprot.org/core/strain,"63533","64084","70426","1.1084948","1.0989639"
http://purl.uniprot.org/core/submittedName,"59352995","2279067","60077674","1.0122097","26.360643"
http://purl.uniprot.org/core/synonym,"8748","8333","8748","1.0","1.049802"
http://purl.uniprot.org/core/topology,"45453","11","45453","1.0","4132.091"
http://purl.uniprot.org/core/transcribedFrom,"50082233","49192338","50171411","1.0017806","1.0199031"
http://purl.uniprot.org/core/translatedFrom,"117314","117402","117439","1.0010655","1.0003152"
http://purl.uniprot.org/core/translatedTo,"50082233","50081784","50082236","1.0000001","1.0000091"
http://purl.uniprot.org/core/urlTemplate,"160","156","160","1.0","1.0256411"
http://purl.uniprot.org/core/activity,"5858","6042","6187","1.0561625","1.0239986"
http://purl.uniprot.org/core/alias,"501","501","501","1.0","1.0"
http://purl.uniprot.org/core/allergenName,"481","481","481","1.0","1.0"
http://purl.uniprot.org/core/author,"1376162","1279494","8840163","6.423781","6.9091086"
http://purl.uniprot.org/core/authorsIncomplete,"1755","1","1755","1.0","1755.0"
http://purl.uniprot.org/core/cdAntigenName,"402","402","402","1.0","1.0"
http://purl.uniprot.org/core/certain,"24","1","24","1.0","24.0"
http://purl.uniprot.org/core/chain,"792553","57599","792562","1.0000113","13.759995"
http://purl.uniprot.org/core/cofactorLabel,"1463","98","1747","1.1941217","17.82653"
http://purl.uniprot.org/core/commonName,"39640","35629","39640","1.0","1.1125768"
http://purl.uniprot.org/core/complete,"381283","1","381283","1.0","381283.0"
http://purl.uniprot.org/core/crc64Checksum,"71209040","60366690","71209040","1.0","1.1796082"
http://purl.uniprot.org/core/date,"1380101","627","1389592","1.0068771","2216.2551"
http://purl.uniprot.org/core/ecName,"243132","5323","264613","1.0883511","49.711254"
http://purl.uniprot.org/core/editor,"521","954","1269","2.4357007","1.3301886"
http://purl.uniprot.org/core/experiments,"59739","46","59739","1.0","1298.674"
http://purl.uniprot.org/core/fragment,"8309462","2","8309462","1.0","4154731.0"
http://purl.uniprot.org/core/frameshift,"12","1","12","1.0","12.0"
http://purl.uniprot.org/core/fullName,"2717661","2487515","2717661","1.0","1.0925205"
http://purl.uniprot.org/core/group,"8719","1203","9913","1.1369423","8.240232"
http://purl.uniprot.org/core/height,"51258","1283","51258","1.0","39.951675"
http://purl.uniprot.org/core/identity,"157405936","3","157405936","1.0","5.2468644E7"
http://purl.uniprot.org/core/institution,"1439","887","1439","1.0","1.6223224"
http://purl.uniprot.org/core/internationalNonproprietaryName,"26","26","26","1.0","1.0"
http://purl.uniprot.org/core/length,"97128919","12338","97128919","1.0","7872.3394"
http://purl.uniprot.org/core/linkIsExplicit,"144","1","144","1.0","144.0"
http://purl.uniprot.org/core/locator,"493","493","493","1.0","1.0"
http://purl.uniprot.org/core/locusName,"5287978","5347928","5379115","1.0172348","1.0058316"
http://purl.uniprot.org/core/manual,"3675777","1","3675777","1.0","3675777.0"
http://purl.uniprot.org/core/mass,"71209040","372391","71209040","1.0","191.22116"
http://purl.uniprot.org/core/maximum,"139","82","139","1.0","1.695122"
http://purl.uniprot.org/core/measuredActivity,"2045","4656","4892","2.3921762","1.0506873"
http://purl.uniprot.org/core/measuredAffinity,"5291","14504","15144","2.8622189","1.0441258"
http://purl.uniprot.org/core/measuredError,"1154","272","1154","1.0","4.242647"
http://purl.uniprot.org/core/measuredValue,"6186","5614","6186","1.0","1.1018882"
http://purl.uniprot.org/core/name,"1211854","84917","1244074","1.0265874","14.650471"
http://purl.uniprot.org/core/obsolete,"245015002","1","245015002","1.0","2.45015008E8"
http://purl.uniprot.org/core/oldMnemonic,"174254","162073","218130","1.2517934","1.345875"
http://purl.uniprot.org/core/orfName,"53728973","56986756","57710187","1.0740981","1.0126947"
http://purl.uniprot.org/core/otherName,"407684","706400","707437","1.7352582","1.0014681"
http://purl.uniprot.org/core/pages,"1080425","240467","1084911","1.004152","4.5116835"
http://purl.uniprot.org/core/partOfLineage,"1770360","2","1770360","1.0","885180.0"
http://purl.uniprot.org/core/place,"1975","1075","1975","1.0","1.8372093"
http://purl.uniprot.org/core/precursor,"243946","1","243946","1.0","243946.0"
http://purl.uniprot.org/core/publisher,"479","245","479","1.0","1.9551021"
http://purl.uniprot.org/core/resolution,"106145","607","106170","1.0002356","174.9094"
http://purl.uniprot.org/core/reviewed,"139524334","2","139524334","1.0","6.9762168E7"
http://purl.uniprot.org/core/scientificName,"1519851","1514445","1519851","1.0","1.0035696"
http://purl.uniprot.org/core/scope,"88083347","198586","88543185","1.0052205","445.8682"
http://purl.uniprot.org/core/shortCoden,"398","381","398","1.0","1.0446194"
http://purl.uniprot.org/core/shortName,"44439","44790","52510","1.1816198","1.17236"
http://purl.uniprot.org/core/submittedTo,"294880","4","299452","1.0155046","74863.0"
http://purl.uniprot.org/core/substitution,"355953","29221","360437","1.0125972","12.334862"
http://purl.uniprot.org/core/synonym,"8748","8333","8748","1.0","1.049802"
http://purl.uniprot.org/core/title,"1309600","1284548","1318104","1.0064936","1.0261228"
http://purl.uniprot.org/core/urlTemplate,"160","156","160","1.0","1.0256411"
http://purl.uniprot.org/core/volume,"1078823","2364","1078823","1.0","456.35492"
http://purl.uniprot.org/core/width,"51258","1240","51258","1.0","41.337097"
http://purl.uniprot.org/core/xeno,"59739","2","59739","1.0","29869.5"
