bif bif:
category-en http://dbpedia.org/resource/Category:
category-eo http://eo.dbpedia.org/resource/Kategorio:
dawgt http://www.w3.org/2001/sw/DataAccess/tests/test-dawg#
dbpedia http://dbpedia.org/resource/
dbpedia-cs http://cs.dbpedia.org/resource/
dbpedia-de http://de.dbpedia.org/resource/
dbpedia-el http://el.dbpedia.org/resource/
dbpedia-eo http://eo.dbpedia.org/resource/
dbpedia-es http://es.dbpedia.org/resource/
dbpedia-fr http://fr.dbpedia.org/resource/
dbpedia-it http://it.dbpedia.org/resource/
dbpedia-ja http://ja.dbpedia.org/resource/
dbpedia-ko http://ko.dbpedia.org/resource/
dbpedia-nl http://nl.dbpedia.org/resource/
dbpedia-owl http://dbpedia.org/ontology/
dbpedia-pl http://pl.dbpedia.org/resource/
dbpedia-pt http://pt.dbpedia.org/resource/
dbpedia-ru http://ru.dbpedia.org/resource/
dbpprop http://dbpedia.org/property/
dc http://purl.org/dc/elements/1.1/
dcterms http://purl.org/dc/terms/
fn http://www.w3.org/2005/xpath-functions/#
foaf http://xmlns.com/foaf/0.1/
freebase http://rdf.freebase.com/ns/
geo http://www.w3.org/2003/01/geo/wgs84_pos#
geonames http://www.geonames.org/ontology#
georss http://www.georss.org/georss/
go http://purl.org/obo/owl/GO#
math http://www.w3.org/2000/10/swap/math#
mesh http://purl.org/commons/record/mesh/
mf http://www.w3.org/2001/sw/DataAccess/tests/test-manifest#
nci http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#
obo http://www.geneontology.org/formats/oboInOwl#
opencyc http://sw.opencyc.org/2008/06/10/concept/
owl http://www.w3.org/2002/07/owl#
product http://www.buy.com/rss/module/productV2/
prop-eo http://eo.dbpedia.org/property/
protseq http://purl.org/science/protein/bysequence/
rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfa http://www.w3.org/ns/rdfa#
rdfdf http://www.openlinksw.com/virtrdf-data-formats#
rdfs http://www.w3.org/2000/01/rdf-schema#
sc http://purl.org/science/owl/sciencecommons/
scovo http://purl.org/NET/scovo#
sd http://www.w3.org/ns/sparql-service-description#
sioc http://rdfs.org/sioc/ns#
skos http://www.w3.org/2004/02/skos/core#
sql sql:
template-en http://dbpedia.org/resource/Template:
template-eo http://eo.dbpedia.org/resource/Template:
umbel-ac http://umbel.org/umbel/ac/
umbel-sc http://umbel.org/umbel/sc/
units http://dbpedia.org/units/
vcard http://www.w3.org/2001/vcard-rdf/3.0#
vcard2006 http://www.w3.org/2006/vcard/ns#
virtcxml http://www.openlinksw.com/schemas/virtcxml#
virtrdf http://www.openlinksw.com/schemas/virtrdf#
void http://rdfs.org/ns/void#
wiki-en http://en.wikipedia.org/wiki/
wiki-eo http://eo.wikipedia.org/wiki/
wikicompany http://dbpedia.openlinksw.com/wikicompany/
xf http://www.w3.org/2004/07/xpath-functions
xml http://www.w3.org/XML/1998/namespace
xsd http://www.w3.org/2001/XMLSchema#
xsl10 http://www.w3.org/XSL/Transform/1.0
xsl1999 http://www.w3.org/1999/XSL/Transform
xslwd http://www.w3.org/TR/WD-xsl
yago http://dbpedia.org/class/yago/
yago-res http://mpii.de/yago/resource/
