"p","s_count","o_count","t","card","inverseCard"
"http://www.wikidata.org/entity/P1614c",69,91,91,1,1
"http://www.wikidata.org/entity/P2452c",1,1,1,1,1
"http://dbpedia.org/property/(free)_",1,2,2,2,1
"http://www.wikidata.org/entity/P206c",12,10,12,1,1
"http://www.wikidata.org/entity/P1995c",5,4,5,1,1
"http://www.wikidata.org/entity/P2115c",8,8,8,1,1
"http://www.wikidata.org/entity/P412c",127,8,129,1,16
"http://www.wikidata.org/entity/P414c",4,3,4,1,1
"http://www.wikidata.org/entity/P2102s",1,1,1,1,1
"http://www.wikidata.org/entity/P702v",2680,2680,2680,1,1
"http://www.wikidata.org/entity/P127s",34,34,34,1,1
"http://www.wikidata.org/entity/P830c",118918,118919,118919,1,1
"http://www.wikidata.org/entity/P949c",413,413,413,1,1
"http://www.wikidata.org/entity/P1745s",4,4,4,1,1
"http://www.wikidata.org/entity/P217v",363,363,363,1,1
"http://www.wikidata.org/entity/P349v",2,2,2,1,1
"http://www.wikidata.org/entity/P1888c",14,14,14,1,1
"http://www.wikidata.org/entity/P2046v",43,43,43,1,1
"http://www.wikidata.org/entity/P742c",47,50,50,1,1
"http://www.wikidata.org/entity/P750c",22,17,22,1,1
"http://www.wikidata.org/entity/P2041v",45,45,45,1,1
"http://www.wikidata.org/entity/P2522c",4,4,4,1,1
"http://www.wikidata.org/entity/P352s",2803,2803,2803,1,1
"http://dbpedia.org/property/warMinister",1,1,1,1,1
"http://dbpedia.org/property/week211Color",54,3,73,1,24
"http://dbpedia.org/property/secspan",2,16,26,13,1
"http://dbpedia.org/property/seriesDevelopment",1,1,1,1,1
"http://dbpedia.org/property/shopwname",1,1,1,1,1
"http://dbpedia.org/property/song2Singer",1,1,1,1,1
"http://dbpedia.org/property/t20debutdate",2,2,2,1,1
"http://dbpedia.org/property/t3high",9,9,9,1,1
"http://dbpedia.org/property/race3Fast",9,5,9,1,1
"http://dbpedia.org/property/rallele",7,4,9,1,2
"http://dbpedia.org/property/rcspan",14,2,14,1,7
"http://dbpedia.org/property/rd1Score07Agg",392,44,423,1,9
"http://dbpedia.org/property/rd4Score03Agg",101,28,101,1,3
"http://dbpedia.org/property/restingPlate",1,1,1,1,1
"http://dbpedia.org/property/row106Color",1,1,1,1,1
"http://dbpedia.org/property/row111Color",2,2,2,1,1
"http://dbpedia.org/property/safetyPoints",58,8,59,1,7
"http://dbpedia.org/property/sbkTotalPoints",90,74,90,1,1
"http://dbpedia.org/property/peak12h",1,1,1,1,1
"http://dbpedia.org/property/pinCustom1Name",4,3,4,1,1
"http://dbpedia.org/property/populationDensityUrbanImperial",1,1,1,1,1
"http://dbpedia.org/property/minorVenues",2,2,2,1,1
"http://dbpedia.org/property/no.OfFloors",8,6,10,1,1
"http://dbpedia.org/property/numAlumni",1,1,1,1,1
"http://dbpedia.org/property/offseason",48,2,50,1,25
"http://dbpedia.org/property/originalResearch",1,1,1,1,1
"http://dbpedia.org/property/trialsCoordinator",1,1,1,1,1
"http://dbpedia.org/property/webaddress",3,3,3,1,1
"http://dbpedia.org/property/widthMaxMi",2,2,2,1,1
"http://dbpedia.org/property/widthTransepts",8,7,8,1,1
"http://dbpedia.org/property/yearsctive",2,2,2,1,1
"http://dbpedia.org/property/seriesShort",70,31,70,1,2
"http://dbpedia.org/property/shirtSuppliers",5,2,5,1,2
"http://dbpedia.org/property/sourceConfluenceLengthImperial",1,1,1,1,1
"http://dbpedia.org/property/sovereign",1,1,1,1,1
"http://dbpedia.org/property/stage4engines",7,2,7,1,3
"http://dbpedia.org/property/studentLegislative",1,1,1,1,1
"http://dbpedia.org/property/recentPreviousName",1,1,1,1,1
"http://dbpedia.org/property/recoveryBy",3,3,3,1,1
"http://dbpedia.org/property/regaltrophyyears",1,1,1,1,1
"http://dbpedia.org/property/replacementDate",1,1,1,1,1
"http://dbpedia.org/property/salesLocation",47,80,139,2,1
"http://dbpedia.org/property/season11PlayoffGoalsAgainst",3,3,3,1,1
"http://dbpedia.org/property/peaceAndFreedom",1,1,1,1,1
"http://dbpedia.org/property/peak17g",2,2,2,1,1
"http://dbpedia.org/property/performers",2,2,2,1,1
"http://dbpedia.org/property/pn",1028,43,1636,1,38
"http://dbpedia.org/property/pole2Driver",17,13,17,1,1
"http://dbpedia.org/property/power/massHp/lb",1,1,1,1,1
"http://dbpedia.org/property/presidentialNominee",112,84,112,1,1
"http://dbpedia.org/property/programmmer",1,2,2,2,1
"http://dbpedia.org/property/minaretHeight",83,73,83,1,1
"http://dbpedia.org/property/mmadecwins",3,3,3,1,1
"http://dbpedia.org/property/munAdmctr1Of",1,1,1,1,1
"http://dbpedia.org/property/murphyCups",2,2,2,1,1
"http://dbpedia.org/property/naamnu",1,1,1,1,1
"http://dbpedia.org/property/novelBy",1,1,1,1,1
"http://dbpedia.org/property/numberOfCountries",1,1,1,1,1
"http://dbpedia.org/property/week524Color",52,6,81,1,13
"http://dbpedia.org/property/widthMain",2,2,2,1,1
"http://dbpedia.org/property/telescopeResolution",16,17,23,1,1
"http://dbpedia.org/property/titleB",92,176,219,2,1
"http://dbpedia.org/property/totalHurricanes",417,27,417,1,15
"http://dbpedia.org/property/totalSuper",11,3,11,1,3
"http://dbpedia.org/property/tubearea",219,222,565,2,2
"http://dbpedia.org/property/turbinetemp",60,56,60,1,1
"http://dbpedia.org/property/twelfth",1,1,1,1,1
"http://dbpedia.org/property/universityAssociation",1,1,1,1,1
"http://dbpedia.org/property/websitename",406,403,407,1,1
"http://dbpedia.org/property/season5PlayoffFaceoffsAtt",1,1,1,1,1
"http://dbpedia.org/property/season5Seconds",8,7,8,1,1
"http://dbpedia.org/property/season9PlayoffMinutes",5,4,5,1,1
"http://dbpedia.org/property/seats27a",5,4,5,1,1
"http://dbpedia.org/property/seats41a",1,1,1,1,1
"http://dbpedia.org/property/sectionc",6,5,7,1,1
"http://dbpedia.org/property/shareholders'Equity",1,1,1,1,1
"http://dbpedia.org/property/shieldRyhsize",1,1,1,1,1
"http://dbpedia.org/property/shipAwared",1,1,1,1,1
"http://dbpedia.org/property/shipPortableVanSpace",1,1,1,1,1
"http://dbpedia.org/property/shipReinstated",102,94,104,1,1
"http://dbpedia.org/property/singleLength",2,2,2,1,1
"http://dbpedia.org/property/statlabe",6,4,6,1,1
"http://dbpedia.org/property/stockholm",7,1,7,1,7
"http://dbpedia.org/property/studio.",1,1,1,1,1
"http://dbpedia.org/property/rd1Date",271,112,331,1,2
"http://dbpedia.org/property/rd1Score32Agg",86,23,87,1,3
"http://dbpedia.org/property/recoverGasBft",12,11,12,1,1
"http://dbpedia.org/property/residentsAndInterns",1,1,1,1,1
"http://dbpedia.org/property/row1100At",1,1,1,1,1
"http://dbpedia.org/property/row110Color",2,2,2,1,1
"http://dbpedia.org/property/row228Colour",1,1,1,1,1
"http://dbpedia.org/property/originalgravity",6,6,6,1,1
"http://dbpedia.org/property/origins'Country",1,1,1,1,1
"http://dbpedia.org/property/party19b",21,4,21,1,5
"http://dbpedia.org/property/plane1Crew",80,14,80,1,5
"http://dbpedia.org/property/polePositions",30,19,33,1,1
"http://dbpedia.org/property/posthumousName",465,615,653,1,1
"http://dbpedia.org/property/primaryMaterial",2,1,2,1,2
"http://dbpedia.org/property/principalPopsConductor",1,1,1,1,1
"http://dbpedia.org/property/minister2Termstart",72,231,238,3,1
"http://dbpedia.org/property/minradiusM",2,2,2,1,1
"http://dbpedia.org/property/mishnah",16,16,16,1,1
"http://dbpedia.org/property/mostlyKnownFor",1,1,1,1,1
"http://dbpedia.org/property/mutualOrbit",1,1,1,1,1
"http://dbpedia.org/property/mvpAlt",4,2,4,1,2
"http://dbpedia.org/property/natinalteamUpdate",1,1,1,1,1
"http://dbpedia.org/property/no.OfWorldRecords",6,5,6,1,1
"http://dbpedia.org/property/nolegend",60,1,60,1,60
"http://dbpedia.org/property/novRecordLowMaximumC",1,1,1,1,1
"http://dbpedia.org/property/numberSeasons",3,2,3,1,1
"http://dbpedia.org/property/occasionalMembers",1,3,3,3,1
"http://www.wikidata.org/entity/P181s",1,1,1,1,1
"http://dbpedia.org/property/upperSchoolHead",1,1,1,1,1
"http://dbpedia.org/property/vesselTypes",1,1,1,1,1
"http://dbpedia.org/property/week1124Color",48,5,76,1,15
"http://dbpedia.org/property/worldChampsApps",68,19,68,1,3
"http://dbpedia.org/property/yearlyBudget",1,1,1,1,1
"http://dbpedia.org/property/serviceyear",1,2,2,2,1
"http://dbpedia.org/property/sisterSchoolPl",8,1,8,1,8
"http://dbpedia.org/property/story,Dialogue",1,1,1,1,1
"http://dbpedia.org/property/suspendedService",1,1,1,1,1
"http://dbpedia.org/property/t4low",9,9,9,1,1
"http://dbpedia.org/property/tc's",121,38,121,1,3
"http://dbpedia.org/property/team2NationalAnthem",15,15,19,1,1
"http://dbpedia.org/property/timeToClimbTo32,808FtAlt",1,1,1,1,1
"http://dbpedia.org/property/rcalign",1,1,1,1,1
"http://dbpedia.org/property/researchAndDevelopment",1,1,1,1,1
"http://dbpedia.org/property/rev1Ps",53,29,54,1,1
"http://dbpedia.org/property/rlAmateurclubs",17,25,25,1,1
"http://dbpedia.org/property/overlay8link",2,2,2,1,1
"http://dbpedia.org/property/p2linebackground",1,1,1,1,1
"http://dbpedia.org/property/pca",12,10,12,1,1
"http://dbpedia.org/property/postseasonTournamentAppearances",1,1,1,1,1
"http://dbpedia.org/property/professions",5,5,5,1,1
"http://dbpedia.org/property/men'sMostConsecutive",4,6,6,1,1
"http://dbpedia.org/property/metroPopulation",1,1,1,1,1
"http://dbpedia.org/property/mintime",2,2,2,1,1
"http://dbpedia.org/property/municunit",1859,517,1859,1,3
"http://dbpedia.org/property/musicConsultant",2,2,2,1,1
"http://dbpedia.org/property/naScore",11,53,90,8,1
"http://dbpedia.org/property/nameAlternative",1,1,1,1,1
"http://dbpedia.org/property/nameOfCm",3,2,3,1,1
"http://dbpedia.org/property/newName",3,3,3,1,1
"http://dbpedia.org/property/numberordered",2,2,2,1,1
"http://dbpedia.org/property/offic",1,1,1,1,1
"http://dbpedia.org/property/vicePresidentOfAtollCouncil",1,1,1,1,1
"http://dbpedia.org/property/vows",1,1,1,1,1
"http://dbpedia.org/property/warNavyStart",9,17,21,2,1
"http://dbpedia.org/property/wingAreaSqft",2964,1155,2970,1,2
"http://dbpedia.org/property/yearsInTruck",402,17,402,1,23
"http://dbpedia.org/property/shipDemmissioned",1,1,1,1,1
"http://dbpedia.org/property/soundDescription",3,2,3,1,1
"http://dbpedia.org/property/subd",4,2,4,1,2
"http://dbpedia.org/property/subdistrict",25,15,32,1,2
"http://dbpedia.org/property/t3low",9,9,9,1,1
"http://dbpedia.org/property/t5yyr",7,2,7,1,3
"http://dbpedia.org/property/taxStart",3,5,5,1,1
"http://dbpedia.org/property/topTryScorer3Flag",5,3,5,1,1
"http://dbpedia.org/property/tradeName",6,6,6,1,1
"http://dbpedia.org/property/regimentalAssociation",1,1,1,1,1
"http://dbpedia.org/property/reverseLabel",1,1,1,1,1
"http://dbpedia.org/property/season15GoalsAgainst",4,4,4,1,1
"http://dbpedia.org/property/season15PlayoffLooseBalls",11,8,11,1,1
"http://dbpedia.org/property/season18Minutes",1,1,1,1,1
"http://dbpedia.org/property/secondaryScale",4,4,4,1,1
"http://dbpedia.org/property/secondarySlogan",1,1,1,1,1
"http://dbpedia.org/property/partyColour",2217,87,2221,1,25
"http://dbpedia.org/property/period11Right",1,1,1,1,1
"http://dbpedia.org/property/poleSpeed",20,20,20,1,1
"http://dbpedia.org/property/pr",111,1548,1636,14,1
"http://dbpedia.org/property/previousType",12460,139,12766,1,91
"http://dbpedia.org/property/prowins",2650,97,2650,1,27
"http://dbpedia.org/property/pte",471,7,471,1,67
"http://dbpedia.org/property/rarelyUsedCertificates",1,1,1,1,1
"http://dbpedia.org/property/namdFor",1,1,1,1,1
"http://dbpedia.org/property/namede",12,12,12,1,1
"http://dbpedia.org/property/netCashGeneratedFromOperations",1,1,1,1,1
"http://dbpedia.org/property/netRevenue",6,6,6,1,1
"http://dbpedia.org/property/nme",3,3,3,1,1
"http://dbpedia.org/property/no.OfInstallations",18,16,18,1,1
"http://dbpedia.org/property/operatingMargin",2,2,2,1,1
"http://dbpedia.org/property/opinion",3,3,3,1,1
"http://dbpedia.org/property/originalAuthor",1,1,1,1,1
"http://dbpedia.org/property/zona",1,1,1,1,1
"http://www.wikidata.org/entity/P1832v",15,15,15,1,1
"http://dbpedia.org/property/thirdPlace",125,78,125,1,1
"http://dbpedia.org/property/townTresurer",1,1,1,1,1
"http://dbpedia.org/property/unrankedRegnumAuthority",2,2,2,1,1
"http://dbpedia.org/property/vehiclePlates",1,1,1,1,1
"http://dbpedia.org/property/wcraceswithrelays",6,7,7,1,1
"http://dbpedia.org/property/win/lossRecord",10,9,10,1,1
"http://dbpedia.org/property/wingCamber",1,1,1,1,1
"http://dbpedia.org/property/shipCompliment",4,4,5,1,1
"http://dbpedia.org/property/sylviaWestWww.myspace.com/sylviawestFoundation",1,1,1,1,1
"http://dbpedia.org/property/rd1Score4b",37,24,48,1,2
"http://dbpedia.org/property/rd2Score16Agg",95,26,95,1,3
"http://dbpedia.org/property/recorder",127,127,127,1,1
"http://dbpedia.org/property/rms6n",1,1,1,1,1
"http://dbpedia.org/property/row17To",3,3,3,1,1
"http://dbpedia.org/property/rtaChairman",1,1,1,1,1
"http://dbpedia.org/property/season1Loss",6,4,6,1,1
"http://dbpedia.org/property/peak16f",2,2,2,1,1
"http://dbpedia.org/property/pin25Name",3,3,3,1,1
"http://dbpedia.org/property/place1Type",1,1,1,1,1
"http://dbpedia.org/property/plane1Laststopover",4,6,6,1,1
"http://dbpedia.org/property/polyDate",1,33,33,33,1
"http://dbpedia.org/property/prpresident",1,1,1,1,1
"http://dbpedia.org/property/mostRecentPremiershipWin",1,1,1,1,1
"http://dbpedia.org/property/nebenbox",1,1,1,1,1
"http://dbpedia.org/property/nummembers",26,26,26,1,1
"http://dbpedia.org/property/otherGradeLabel",82,39,91,1,2
"http://www.wikidata.org/entity/P1296s",2,2,2,1,1
"http://www.wikidata.org/entity/P1427v",9,9,9,1,1
"http://www.wikidata.org/entity/P1615s",19,19,19,1,1
"http://www.wikidata.org/entity/P1679c",2,2,2,1,1
"http://www.wikidata.org/entity/P1971v",1,1,1,1,1
"http://www.wikidata.org/entity/P242s",6,7,7,1,1
